seed,fold,model,curve_nrmse,final_reference,final_prediction,monotonic,bounded
74167,3,gnn_v2_init_47,0.05741295269886557,0.2448765184284501,0.26546764373779297,True,True
153133,3,gnn_v2_init_47,0.053837781727613054,0.2478319171685908,0.2654532790184021,True,True
161123,3,gnn_v2_init_47,0.051774743945681136,0.2473262503070457,0.26498934626579285,True,True
52691,3,gnn_v2_ensemble,0.028730184642707785,0.2757138322879656,0.26657743255297345,True,True
74167,3,gnn_v2_ensemble,0.06089377656014164,0.2448765184284501,0.2666008075078328,True,True
153133,3,gnn_v2_ensemble,0.05749847602727873,0.2478319171685908,0.26663480202356976,True,True
161123,3,gnn_v2_ensemble,0.05620563793362843,0.2473262503070457,0.26648614803949994,True,True
52691,3,mean_curve,0.02584127529748626,0.2757138322879656,0.267231421005534,True,True
74167,3,mean_curve,0.06400687218873743,0.2448765184284501,0.267231421005534,True,True
153133,3,mean_curve,0.060581591329801204,0.2478319171685908,0.267231421005534,True,True
161123,3,mean_curve,0.05965049110685497,0.2473262503070457,0.267231421005534,True,True
52691,3,G_access_power_1D,0.013330774014578502,0.2757138322879656,0.2670160731181127,True,True
74167,3,G_access_power_1D,0.027852739511898025,0.2448765184284501,0.22894887001034403,True,True
153133,3,G_access_power_1D,0.02155704057768112,0.2478319171685908,0.24088076699059863,True,True
161123,3,G_access_power_1D,0.04857567931293335,0.2473262503070457,0.2543203737353792,True,True
52691,3,gnn_v1_ensemble,0.025684583015738713,0.2757138322879656,0.26744795838991803,True,True
74167,3,gnn_v1_ensemble,0.06422042643752625,0.2448765184284501,0.26744788885116577,True,True
153133,3,gnn_v1_ensemble,0.060800801110112684,0.2478319171685908,0.26745594541231793,True,True
161123,3,gnn_v1_ensemble,0.05984876658580931,0.2473262503070457,0.2674482564131419,True,True
18427,4,gnn_v2_init_11,0.053277266421071105,0.2843179552259188,0.2634456753730774,True,True
40213,4,gnn_v2_init_11,0.007949419458250584,0.2649596669322829,0.2634337842464447,True,True
113117,4,gnn_v2_init_11,0.05213865284899506,0.281763344934014,0.2634064257144928,True,True
137077,4,gnn_v2_init_11,0.025057486348614277,0.2521114080676108,0.26347145438194275,True,True
18427,4,gnn_v2_init_29,0.05087673051242711,0.2843179552259188,0.26402196288108826,True,True
40213,4,gnn_v2_init_29,0.004899986293333136,0.2649596669322829,0.2642142176628113,True,True
113117,4,gnn_v2_init_29,0.049375293779144916,0.281763344934014,0.2640848159790039,True,True
137077,4,gnn_v2_init_29,0.028027597647773083,0.2521114080676108,0.26424917578697205,True,True
18427,4,gnn_v2_init_47,0.057938738093840265,0.2843179552259188,0.2612525224685669,True,True
40213,4,gnn_v2_init_47,0.011295217733880567,0.2649596669322829,0.2618548572063446,True,True
113117,4,gnn_v2_init_47,0.056979673097145175,0.281763344934014,0.26118671894073486,True,True
137077,4,gnn_v2_init_47,0.02039004538933505,0.2521114080676108,0.26125654578208923,True,True
18427,4,gnn_v2_ensemble,0.054029314291471835,0.2843179552259188,0.26290672024091083,True,True
40213,4,gnn_v2_ensemble,0.008010591228128961,0.2649596669322829,0.2631676197052002,True,True
113117,4,gnn_v2_ensemble,0.05283021021696125,0.281763344934014,0.26289265354474384,True,True
137077,4,gnn_v2_ensemble,0.02443251173079473,0.2521114080676108,0.26299239198366803,True,True
18427,4,mean_curve,0.05299567040041307,0.2843179552259188,0.2630186799450481,True,True
40213,4,mean_curve,0.007454681171595357,0.2649596669322829,0.2630186799450481,True,True
113117,4,mean_curve,0.051650284495773184,0.281763344934014,0.2630186799450481,True,True
137077,4,mean_curve,0.02519595130222492,0.2521114080676108,0.2630186799450481,True,True
18427,4,G_access_power_1D,0.021783383182765147,0.2843179552259188,0.26961623572234616,True,True
40213,4,G_access_power_1D,0.01644275456136992,0.2649596669322829,0.26088464886563506,True,True
113117,4,G_access_power_1D,0.02988009393168425,0.281763344934014,0.2644530650282902,True,True
137077,4,G_access_power_1D,0.05297686616294687,0.2521114080676108,0.2279063715873722,True,True
18427,4,gnn_v1_ensemble,0.05335327341345531,0.2843179552259188,0.2630799909432729,True,True
40213,4,gnn_v1_ensemble,0.007264283100592456,0.2649596669322829,0.2632625699043274,True,True
113117,4,gnn_v1_ensemble,0.052251670125329726,0.281763344934014,0.26300427317619324,True,True
137077,4,gnn_v1_ensemble,0.024717834821368804,0.2521114080676108,0.2630246579647064,True,True
