time_s,mean_gas_concentration_mol_m3,gas_inventory_mol,adsorbed_inventory_mol,total_inventory_mol,cumulative_reservoir_input_mol,mass_balance_residual_mol,relative_mass_balance_error,mean_loading_mol_kg,inlet_cell_concentration_mol_m3,top_cell_concentration_mol_m3
0.0007070850851445,0.004758828406771474,1.5425493617000497e-08,5.992250997674057e-11,1.5485416126977236e-08,1.5485416127026507e-08,-4.927018600610854e-20,3.1817153379635625e-12,9.450874990121167e-09,0.47370070427980315,1.66260582163e-313
0.000752016776819,0.005047145573641793,1.636005864794412e-08,6.749771054750454e-11,1.6427556358491624e-08,1.6427556358542738e-08,-5.1113144410876686e-20,3.1114271225310135e-12,1.064562256740346e-08,0.5022522548843207,3.757793404122369e-272
0.0007998036509307,0.005352010708398506,1.7348263052108824e-08,7.601204927110977e-11,1.7424275101379934e-08,1.7424275101446307e-08,-6.637297235125494e-20,3.809224312909616e-12,1.1988489395438119e-08,0.5324230520042592,5.357162417291064e-271
0.0008506271399262,0.0056742570885042224,1.8392807854848324e-08,8.557868278202868e-11,1.8478386537630353e-08,1.8478386537721293e-08,-9.094023654407986e-20,4.921438154702352e-12,1.3497322343575526e-08,0.5642919956600019,1.3556201125283675e-270
0.0009046802053693,0.006014745100519286,1.949648195424011e-08,9.632367868087209e-11,1.959280563292098e-08,1.9592805633051702e-08,-1.3072100656298007e-19,6.67188809051741e-12,1.5192004576491854e-08,0.5979401618560123,2.6343211885689254e-270
0.0009621680705579,0.006374361034892906,2.0662158214463866e-08,1.0838752027923128e-10,2.0770545734743098e-08,2.0770545734937648e-08,-1.945495713500219e-19,9.366608553899219e-12,1.709469287995197e-08,0.6334506205186909,4.557822855328164e-270
0.0010233089996959,0.0067540155567263884,2.1892788508860398e-08,1.2192665207794098e-10,2.201471516093834e-08,2.201471516123366e-08,-2.9532002229368194e-19,1.3414664697262103e-11,1.923006141097724e-08,0.6709082146850991,7.377086197053039e-270
0.0010883351265767,0.0071546420107610285,2.3191398225638457e-08,1.3711469061295977e-10,2.3328512916251418e-08,2.3328512916724565e-08,-4.731473103803318e-19,2.0281931903217258e-11,2.162549267037078e-08,0.7103993172819097,5.811358825537889e-269
0.0011574933359255,0.00757719401804543,2.4561078477597432e-08,1.5414431060339007e-10,2.4715222788200823e-08,2.4715222788997877e-08,-7.970546946438464e-19,3.224954520736345e-11,2.431137498273215e-08,0.7520115082958522,2.4959163258815523e-268
0.0012310462007473,0.008022641903977211,2.6004974523811192e-08,1.7323064522961982e-10,2.617820516904081e-08,2.617820517035014e-08,-1.3093309567203867e-18,5.0016070551825155e-11,2.7321638782465093e-08,0.7958331237517611,5.940485227485256e-268
0.0013092729792371,0.008491969975034604,2.7526276942295854e-08,1.9461203853495292e-10,2.7720888980830806e-08,2.772088898292786e-08,-2.097055054054635e-18,7.564891065889423e-11,3.0693875281265846e-08,0.8419528875539314,1.1696135410022013e-267
0.0013924706750403,0.00898617249297287,2.9128208580577847e-08,2.1855243227139394e-10,2.934676101284924e-08,2.934676101609598e-08,-3.2467401525522872e-18,1.1063367949776569e-10,3.4469712917326284e-08,0.8904594005968808,4.880813487267835e-267
0.0014809551648862,0.009506250043944705,3.081401278638739e-08,2.4534195285897474e-10,3.1059354739246364e-08,3.105935474396093e-08,-4.7145655320827344e-18,1.5179212739438567e-10,3.8694909929547215e-08,0.9414406650794932,2.8947158248038928e-266
0.0015750623978776,0.010053201261140282,3.258692657702876e-08,2.753050330292871e-10,3.286223161005805e-08,3.28622316167369e-08,-6.678854789100158e-18,2.03238017034077e-10,4.342063528915779e-08,0.994983112409322,7.76115179834077e-266
0.0016751496709886,0.010628018788053322,3.445016755451814e-08,3.087994173266992e-10,3.4758966971844836e-08,3.475896698111424e-08,-9.26940579660393e-18,2.66676676600899e-10,4.8703311849081456e-08,1.0511710714333249,1.6577647080032704e-265
0.0017815969856142,0.011231683817816822,3.640691620512576e-08,3.462167540590773e-10,3.6753132959184835e-08,3.6753132971503546e-08,-1.231871117182961e-17,3.3517445115171253e-10,5.460470970538349e-08,1.1100860806544115,1.6479235300802361e-264
0.0018948084903223,0.011865154804483862,3.846027930758247e-08,3.8799208262732796e-10,3.88482713902098e-08,3.884827140602825e-08,-1.5818446169092466e-17,4.07185328885389e-10,6.119344252253391e-08,1.1718055765668494,5.369240369501971e-264
0.002015214015284,0.012529360302898047,4.0613266723893964e-08,4.346047186971345e-10,4.10478714425911e-08,4.104787146225647e-08,-1.966537203050098e-17,4.790838435698984e-10,6.854510714116806e-08,1.236402012647381,1.7958731261937152e-263
0.0021432707042104,0.013225191441384218,4.2868766999960984e-08,4.865786034394516e-10,4.335534560340044e-08,4.3355345627158104e-08,-2.375766613137232e-17,5.479754754045911e-10,7.674233865969537e-08,1.3039419341267409,1.3266284674518564e-262
0.0022794647499905,0.013953487962890712,4.522950211867138e-08,5.44491958938494e-10,4.577399407760988e-08,4.577399410539564e-08,-2.778576439926465e-17,6.070207536464331e-10,8.587633326860524e-08,1.3744843633175634,4.4232459236685217e-262
0.0024243132406195,0.014715028077234793,4.7697994606483954e-08,6.089795585811761e-10,4.830697416506513e-08,4.8306974196135107e-08,-3.106997583356559e-17,6.4317785062289e-10,9.604720633237608e-08,1.4480795863017435,1.0685610779417116e-254
0.0025783661224274,0.015510516269020698,5.027652801343182e-08,6.807364991854989e-10,5.095726451261732e-08,5.095726454532442e-08,-3.270709861470604e-17,6.418535003113128e-10,1.073645873230629e-07,1.5247677154517663,4.550353119612644e-254
0.0027422082880605,0.01634057000161735,5.2967103814760976e-08,7.605227631356222e-10,5.3727626577896596e-08,5.3727626609369316e-08,-3.1472720147650307e-17,5.857828110754835e-10,1.1994833935237737e-07,1.6045771321953899,1.2402035994353743e-253
