power_coefficient_SI,power_exponent
6179551.268552513,2.4367457178188223
27671744.912259568,2.562776588889808
1104099.410510156,2.2980037077302997
32993241.989487346,2.5758513906239355
24125570.879187603,2.5499481838664124
46880296.487327985,2.604748980443153
23689606.06475013,2.5483665587896995
1988465.2371313076,2.344967192961676
11359270.073752757,2.48945503144569
42106270.89338608,2.594707289222527
126532970.67028223,2.6832906801068432
6807204.464508212,2.4460662924800065
188696697.5595112,2.718001304177417
80574875.42816973,2.65265400689526
40136871.430698626,2.5913951312093073
179151746.21585038,2.7135298056057935
653522.8913423853,2.2572889623608656
1731194.368506384,2.3328907212151373
441316429.92814183,2.789686631866085
17584.165258005658,1.9562632422850657
16628629.535304049,2.519034439272063
8201406.571386986,2.461442383940936
13894618.806946874,2.5050855541011385
49273182.94317263,2.608372937727758
6680754.116631994,2.4472213423854368
270295.8042931023,2.1818338512277236
27432659.074584693,2.5611845466970546
434659.19637619046,2.219396464359629
1831360.6298606088,2.340979211936909
212492533.4099199,2.729513181066575
39798926.97133939,2.5904093661429153
32115300.86207624,2.573630252630015
15371987.465025768,2.5136897428844165
10119939.209255468,2.478211597623586
3627871.241587811,2.392869958576754
13893796.76283165,2.505797971045276
43833482.17318201,2.5965975920959967
127153102.9833125,2.686146922704009
48033340.20694683,2.6065812851375756
904643.1564734731,2.279426364112651
16778983.526019335,2.520129934484185
27828137.186807938,2.56213677175665
864491.1407790548,2.2771031013321408
674825.8558407873,2.254663568113342
1011293.4019879294,2.293255757261037
28614980.057637926,2.564556592973645
5411258.753599058,2.4277437692141928
5360976.885628481,2.426532878424217
38897158.626620725,2.5917801924185393
1868586.8994592426,2.3412612685865373
148763160.14707747,2.699217785652022
10801950.072401872,2.483970259446159
1164862.0557555966,2.3032987641280744
59253389.94411348,2.6247373075641067
8498291.81433941,2.4631592674137157
52296860.41226777,2.6112550991843335
6889.288491206103,1.8813371919186639
17749139.886936177,2.524907329217218
11712092.485660888,2.4926134179442783
2378661.365362646,2.3599011345619525
23899972.710390646,2.5504216368600128
36254712.88457354,2.581544377589837
65222639.29474597,2.6306927076981235
111993510.99516696,2.6767364275693155
88935280.25668366,2.655512869871881
36317437.25033306,2.583724250856956
59751600.42817022,2.624038411005521
23584031.188045964,2.547831613678368
785969.509627889,2.267939106163
37862969.46766823,2.588848523710075
4042348.9138691914,2.4051118281666812
762596.9701272511,2.2701187713726765
248001.43273686196,2.174020829746061
1528532.509379349,2.3241561485195184
253471260.0920192,2.7427265643096477
82015372.98701851,2.649017560028484
440281.7496378775,2.2224326880988823
115510066.91732532,2.679006498847455
99838046.39116447,2.6679529103013486
61994826.446013935,2.6284175299340142
243277.6407208497,2.169767489514975
8797397.365681691,2.466641349891232
9891206.816660369,2.4759184923194453
156010408.29414612,2.7014995208706156
7662535.943486374,2.4563842686313144
807127.8929103027,2.2711843175031277
18017358.499229398,2.5266507949745267
153457932.30959147,2.7020313892188357
42379807.637912,2.5951247704916334
26570947.419508014,2.5588197745706465
135274897.23260036,2.6914599000303423
81538553.13848108,2.6512315931202313
10466265.000013603,2.4800250660147594
32694645.493288536,2.5748591572793145
142795.97903247338,2.1316094571374724
15661826.444047568,2.514911643090566
24738980.793135967,2.551786620902672
135076280.6806585,2.6936466606923393
23263949.182881277,2.544622870310963
13786591.716292636,2.50435780157418
3831912.8411001777,2.4001123540544773
84511388.90608993,2.6523715838457123
2101342.8286239505,2.3518820010925174
7563230.822305088,2.454202212502747
2427684.575487832,2.361077426864633
4139445.272648998,2.4046120307373626
29096451.320701912,2.5648647737182433
2147.777764194189,1.7851951624312228
455910.72458962403,2.2261005479651716
5753290.502101889,2.4326985897039117
430955.42370089015,2.2189856268005537
30826.19260823809,2.00504853521848
56102403.60982225,2.6188938381207585
231238.98581057423,2.1705102747801153
1965887.3681684905,2.345778571709163
13114.437464015904,1.9344505259571827
18801599.056068335,2.530782817929019
830867.9806669527,2.273829416470606
1612383.897257329,2.327159102846082
153950493.35138264,2.701382369690319
166499947.91627884,2.70877726916652
10153434.132999532,2.479689363480269
88913737.50020559,2.6551958732959373
91965425.04084828,2.659321303775034
17687970.019960623,2.526168885562472
1234849.8011235958,2.304476221335627
573603.7180904459,2.244838871374465
85927378.71472377,2.6533675006044377
97124738.71815044,2.6660534744037916
1671807.950658048,2.3310046270168794
3075146.1879228866,2.381026251911469
2358900.009257841,2.359806846913787
1742641.4736061695,2.332521659252667
899817.6490932647,2.2788242660087126
3244902.780996191,2.3847853111894524
292370.930603474,2.1870141898019555
3222714.9957698355,2.3842775828728153
3989494.6438932335,2.4029931823725077
2061585.4844960228,2.3483745087730736
1133174.0411683663,2.299532456260927
1919974.7597584645,2.342094346736076
26545716.65784596,2.5576110024733385
749767.8373792978,2.2660996701105307
151315.18399193144,2.135961752254512
40387903.90088641,2.5925893874606407
114138142.20475347,2.677182322302127
867857.7153807495,2.2767867861615176
3757549.8001113925,2.39713011692175
2898765.9207530157,2.377656799093078
44215468.4925862,2.600600292295584
172035630.84208947,2.709030586540009
224719.41073125778,2.166647715417961
6404988.0494109625,2.4413283744988497
224162.38176849872,2.168437639431511
441509.87363881513,2.2212536145385666
3708342.231708486,2.3963296538168435
774357.7751072599,2.2659531540838804
2720587.5189304817,2.3726661576810413
3439834.3266138,2.3896893165337154
469655.823414494,2.227943276498462
55333026.28616868,2.6190158501821394
12994847.833787123,2.497460909107526
160704.24232737682,2.1404756840714665
142799021.10965174,2.695943419829631
15670174.681454102,2.515519428229101
32608212.201110873,2.5750940222910117
423031140.1865936,2.7844037567483397
291393767.7826513,2.754363448185864
42890968.38341865,2.5948324814648593
128646.60221346033,2.1223737654513153
144100996.2134205,2.6979727597860514
19532187.04156345,2.5321479221958496
95556159.64432813,2.6621215414332715
607585188.7919267,2.8139596099181663
1272872.1040064471,2.3112163351113444
8617758.962883778,2.4640019324917195
8318532.67734768,2.461491740613551
7929302.165912306,2.4589522584050965
9521208.59464477,2.474285181334444
47196815.693789065,2.6052256148016544
