seed,stage,median_s,p10_s,p90_s,repeats
121021,power_law_mapping,1.181993866339326e-06,1.0920048225671053e-06,1.330609666183591e-06,5
121021,one_D_uptake,0.03290515998378396,0.03279448418761603,0.0335919488046784,5
129121,particle_graph_build,0.0030615270079579204,0.0029975922021549194,0.003139854216715321,5
129121,gnn_single_curve,0.0011806869879364967,0.0011596364027354866,0.0011972329928539693,5
129121,gnn_ensemble_curve,0.003473474003840238,0.003466734802350402,0.003591634600888938,5
129121,G_access_cached_network,0.007015807990683243,0.006851299194386229,0.007271562208188698,5
129121,power_law_mapping,1.2420059647411108e-06,1.1423835530877113e-06,1.3264012522995473e-06,5
129121,one_D_uptake,0.03152745802071877,0.0313778109906707,0.03163186199963093,5
137077,particle_graph_build,0.0030717970221303403,0.0030189771961886434,0.003151593008078635,5
137077,gnn_single_curve,0.001161060994490981,0.001155879395082593,0.001185012812493369,5
137077,gnn_ensemble_curve,0.0035144110152032226,0.0034860942047089337,0.0036280183936469256,5
137077,G_access_cached_network,0.00765574598335661,0.007466375210788101,0.007938030792865902,5
137077,power_law_mapping,1.1720112524926662e-06,1.0799907613545655e-06,1.414999132975936e-06,5
137077,one_D_uptake,0.03247631300473586,0.032061978592537344,0.03280021020327695,5
145093,particle_graph_build,0.0030693629814777523,0.003008437203243375,0.0031979849911294876,5
145093,gnn_single_curve,0.0011743869981728494,0.001150785997742787,0.0012433747993782162,5
145093,gnn_ensemble_curve,0.0034796270192600787,0.0034665557963307948,0.0036429690138902516,5
145093,G_access_cached_network,0.008873696002410725,0.008573164598783479,0.009828728204593063,5
145093,power_law_mapping,1.133012119680643e-06,1.114007318392396e-06,1.3186014257371426e-06,5
145093,one_D_uptake,0.034623520012246445,0.033747548609972,0.03598552238545381,5
153133,particle_graph_build,0.0029856050095986575,0.002965969603974372,0.0031020190101116894,5
153133,gnn_single_curve,0.0011674330162350088,0.0011414878012146802,0.0012056308100000025,5
153133,gnn_ensemble_curve,0.003469908988336101,0.0034501216025091706,0.0035583413962740453,5
153133,G_access_cached_network,0.007595634990138933,0.007533333805622533,0.0076408724067732695,5
153133,power_law_mapping,1.1020165402442217e-06,1.0800082236528397e-06,1.2980075553059577e-06,5
153133,one_D_uptake,0.032675788999767974,0.03210331679438241,0.03612237320630811,5
161123,particle_graph_build,0.0030760760128032416,0.0030050639878027143,0.0032094533962663263,5
161123,gnn_single_curve,0.001150672003859654,0.0011464821873232722,0.0011759979883208872,5
161123,gnn_ensemble_curve,0.003505747008603066,0.003466685401508585,0.003586683387402445,5
161123,G_access_cached_network,0.007168951007770374,0.006874946196330711,0.007188433589180932,5
161123,power_law_mapping,1.181993866339326e-06,1.0459800250828266e-06,1.311994856223464e-06,5
161123,one_D_uptake,0.03235579901956953,0.03208009878289886,0.03247381399851292,5
