seed,model,curve_nrmse,final_reference,final_prediction,final_relative_error,monotonic,within_bounds
121021,gnn_init_47,0.010577437616921247,0.2685458230112915,0.26444268226623535,-0.015279108418244172,True,True
121021,gnn_ensemble,0.010386023799620872,0.2685458230112915,0.2646782398223877,-0.014401948783024527,True,True
121021,interpolation_oracle,0.0020858510684795485,0.2685458230112915,0.2685458230112915,0.0,True,True
129121,mean_curve,0.12888048145261563,0.226316329052256,0.26658604869622843,0.17793554628872688,True,True
129121,geometry_ridge,0.12630440057876857,0.226316329052256,0.2647732450465899,0.1699255027482099,True,True
129121,G_access_power_1D,0.023142635564956514,0.226316329052256,0.2209569391367031,-0.023680968748460936,True,True
129121,gnn_init_11,0.1374733194893511,0.226316329052256,0.2690632939338684,0.1888814875206916,True,True
129121,gnn_init_29,0.12895161709619637,0.226316329052256,0.2667672634124756,0.17873626056774525,True,True
129121,gnn_init_47,0.12825587869694294,0.226316329052256,0.26657596230506897,0.1778909786200938,True,True
129121,gnn_ensemble,0.13155976774440215,0.226316329052256,0.2674688398838043,0.18183624223617686,True,True
129121,interpolation_oracle,0.0019749930227256334,0.226316329052256,0.226316329052256,0.0,True,True
137077,mean_curve,0.03126298106846195,0.2521114080676108,0.2652284129585782,0.052028605097670565,True,True
137077,geometry_ridge,0.017259606149076144,0.2521114080676108,0.25996381750314473,0.031146585137583706,True,True
137077,G_access_power_1D,0.05209631025360291,0.2521114080676108,0.2282348350877682,-0.0947064361857017,True,True
137077,gnn_init_11,0.0313852035575115,0.2521114080676108,0.26542821526527405,0.052821121026351905,True,True
137077,gnn_init_29,0.03134637806744977,0.2521114080676108,0.26540982723236084,0.05274818488651536,True,True
137077,gnn_init_47,0.031851365434856053,0.2521114080676108,0.26554420590400696,0.05328119794084759,True,True
137077,gnn_ensemble,0.03152741277922893,0.2521114080676108,0.26546074946721393,0.05295016795123821,True,True
137077,interpolation_oracle,0.0021999558098841146,0.2521114080676108,0.2521114080676108,0.0,True,True
145093,mean_curve,0.0212300908348426,0.2725654795364886,0.2641518828812688,-0.030868166686139193,True,True
145093,geometry_ridge,0.15992945893441843,0.2725654795364886,0.2134882439701221,-0.21674511264900576,True,True
145093,G_access_power_1D,0.01965262820212423,0.2725654795364886,0.2694422725474139,-0.011458556653564026,True,True
145093,gnn_init_11,0.02134347996999698,0.2725654795364886,0.2642955482006073,-0.030341081159450983,True,True
145093,gnn_init_29,0.021245602277183615,0.2725654795364886,0.2643171548843384,-0.030261809625257353,True,True
145093,gnn_init_47,0.021201046224613863,0.2725654795364886,0.2643127143383026,-0.030278101292284733,True,True
145093,gnn_ensemble,0.021263365312520602,0.2725654795364886,0.2643084724744161,-0.030293664025664423,True,True
145093,interpolation_oracle,0.0021443453514794477,0.2725654795364886,0.2725654795364886,0.0,True,True
153133,mean_curve,0.05566309081114217,0.2478319171685908,0.2654536493216845,0.07110356226275055,True,True
153133,geometry_ridge,0.050855510000621586,0.2478319171685908,0.26548255890576977,0.0712202122262239,True,True
153133,G_access_power_1D,0.02145632346443355,0.2478319171685908,0.24078408015831357,-0.02843797155264245,True,True
153133,gnn_init_11,0.05598294058278589,0.2478319171685908,0.2656051218509674,0.07171475282695798,True,True
153133,gnn_init_29,0.0556735995137296,0.2478319171685908,0.26561975479125977,0.07177379663559869,True,True
153133,gnn_init_47,0.05411665200638132,0.2478319171685908,0.2651917338371277,0.07004673516981938,True,True
153133,gnn_ensemble,0.05525748234706471,0.2478319171685908,0.2654722034931183,0.07117842821079201,True,True
153133,interpolation_oracle,0.0020313273519172053,0.2478319171685908,0.2478319171685908,0.0,True,True
161123,mean_curve,0.054638021063702386,0.2473262503070457,0.26548026336702896,0.07340107666471223,True,True
161123,geometry_ridge,0.06503467296640839,0.2473262503070457,0.26984339336716423,0.0910422691977273,True,True
161123,G_access_power_1D,0.04972562500581691,0.2473262503070457,0.25475586899419517,0.030039749836201775,True,True
161123,gnn_init_11,0.05229484945649497,0.2473262503070457,0.2649231255054474,0.07114843319928991,True,True
