time_s,reference_loading,predicted_loading
0.3562975316784205,0.0001239273917875,7.012519740528794e-05
0.3789384431812964,0.0001325525993219,7.548988514698016e-05
0.4030180704430672,0.0001417346902659,8.120679939458515e-05
0.4286278365954661,0.0001515076841675,8.729652831993904e-05
0.455864974249246,0.0001619077643731,9.378106773471148e-05
0.4848328946572759,0.0001729734354762,0.00010068393424929804
0.5156415803360923,0.0001847456890233,0.00010803027645906687
0.5484080026365689,0.0001972681752387,0.00011584699555343528
0.583256565849098,0.0002105873783386,0.00012416285983558666
0.6203195795294159,0.0002247527997803,0.00013300861634732327
0.6597377608383529,0.000239817150723,0.00014241710511480744
0.7016607688027423,0.0002558365464732,0.00015242337927669564
0.7462477725259145,0.0002728707078181,0.00016306482496884672
0.7936680555051042,0.0002909831774568,0.00017438128274390404
0.8441016583501812,0.0003102415425831,0.0001864151852961069
0.8977400623439151,0.0003307176668947,0.00019921169910182388
0.9547869164390482,0.0003524879393072,0.0002128188735727069
1.0154588104523672,0.0003756335390042,0.0002272878081290025
1.0799860973913584,0.0004002407133005,0.00024267283138260356
1.1486137680355757,0.0004264010733399,0.0002590316888356644
1.2216023810932433,0.0004542119108816,0.00027642574696394394
1.2992290524646235,0.0004837765326752,0.0002949202136867732
1.3817885073680785,0.0005152046146708,0.00031458437027075126
1.469594199323442,0.0005486125779476,0.0003354918181337666
1.5629795002411386,0.0005841239864519,0.00035772074244672797
1.662298966135469,0.0006218699659295,0.00038135419066715045
1.7679296832675877,0.0006619896455949,0.0004064803669472355
1.880272699829084,0.0007046306238914,0.00043319294404014325
1.9997545486018304,0.0007499494591025,0.000461591393376477
2.1268288663751918,0.0007981121844322,0.0004917813334682043
2.261978116269024,0.0008492948483539,0.0005238748978257731
2.405715419501627,0.0009036840824131,0.0005579911235514733
2.5585865035572994,0.0009614776964584,0.0005942563614214882
2.7211717741501302,0.0010228853016337,0.0006328047081281257
2.8940885188506336,0.001088128961693,0.000673778462089631
3.0779932507417502,0.0011574438732598,0.0007173286032521767
3.273584201002371,0.0012310790755721,0.0007636152983322986
