seed,bin,z_low_m,z_high_m,z_center_m,solid_fraction,porosity
113117,11,0.013148822133333333,0.014344169600000001,0.013746495866666666,0.5653868623545593,0.43461313764544074
113117,12,0.014344169600000001,0.015539517066666668,0.014941843333333335,0.5753476363718654,0.42465236362813463
113117,13,0.015539517066666668,0.016734864533333334,0.0161371908,0.549671437139319,0.450328562860681
113117,14,0.016734864533333334,0.017930212,0.01733253826666667,0.5730434315681356,0.42695656843186436
113117,15,0.017930212,0.019125559466666667,0.018527885733333332,0.5782124093118645,0.42178759068813554
113117,16,0.019125559466666667,0.020320906933333334,0.019723233200000002,0.554297892255561,0.44570210774443897
113117,17,0.020320906933333334,0.0215162544,0.020918580666666665,0.5672273059903699,0.43277269400963014
113117,18,0.0215162544,0.022711601866666667,0.022113928133333335,0.5623889619232169,0.43761103807678314
113117,19,0.022711601866666667,0.023906949333333333,0.0233092756,0.5484437587976538,0.45155624120234616
113117,20,0.023906949333333333,0.0251022968,0.02450462306666667,0.5625093617799817,0.4374906382200183
113117,21,0.0251022968,0.026297644266666666,0.02569997053333333,0.5735288690182695,0.4264711309817305
113117,22,0.026297644266666666,0.027492991733333333,0.026895318,0.565913886347703,0.434086113652297
113117,23,0.027492991733333333,0.028688339200000003,0.028090665466666668,0.5317530609284364,0.46824693907156356
113117,24,0.028688339200000003,0.02988368666666667,0.029286012933333334,0.5552255006560869,0.4447744993439131
113117,25,0.02988368666666667,0.031079034133333336,0.030481360400000004,0.5612498166213725,0.4387501833786275
113117,26,0.031079034133333336,0.0322743816,0.03167670786666667,0.5419994723345304,0.4580005276654696
113117,27,0.0322743816,0.03346972906666667,0.03287205533333333,0.5609699105065914,0.4390300894934086
113117,28,0.03346972906666667,0.03466507653333333,0.0340674028,0.5050485541470899,0.49495144585291007
113117,29,0.03466507653333333,0.035860424,0.03526275026666667,0.2681438504775982,0.7318561495224019
121021,0,0.0,0.0011911372333333334,0.0005955686166666667,0.5317849268461547,0.46821507315384525
121021,1,0.0011911372333333334,0.002382274466666667,0.00178670585,0.5657308455610375,0.4342691544389625
121021,2,0.002382274466666667,0.0035734117,0.0029778430833333333,0.545289154877765,0.45471084512223503
121021,3,0.0035734117,0.004764548933333334,0.004168980316666667,0.5619819134131562,0.4380180865868438
121021,4,0.004764548933333334,0.005955686166666667,0.005360117550000001,0.5674373992665549,0.4325626007334451
121021,5,0.005955686166666667,0.0071468234,0.006551254783333333,0.5680357490997388,0.43196425090026125
121021,6,0.0071468234,0.008337960633333334,0.007742392016666667,0.5580796538610829,0.44192034613891706
121021,7,0.008337960633333334,0.009529097866666668,0.00893352925,0.561815500973336,0.438184499026664
121021,8,0.009529097866666668,0.010720235100000001,0.010124666483333334,0.5578184155621044,0.44218158443789557
121021,9,0.010720235100000001,0.011911372333333335,0.011315803716666668,0.5590497158977553,0.4409502841022447
121021,10,0.011911372333333335,0.013102509566666668,0.012506940950000002,0.5725960354604598,0.4274039645395402
121021,11,0.013102509566666668,0.0142936468,0.013698078183333334,0.5705338773631272,0.4294661226368728
121021,12,0.0142936468,0.015484784033333334,0.014889215416666667,0.5608222695930831,0.4391777304069169
121021,13,0.015484784033333334,0.016675921266666668,0.01608035265,0.5584203998947596,0.44157960010524044
121021,14,0.016675921266666668,0.0178670585,0.017271489883333335,0.5645849183920082,0.4354150816079918
121021,15,0.0178670585,0.019058195733333335,0.018462627116666668,0.570913492696001,0.429086507303999
121021,16,0.019058195733333335,0.02024933296666667,0.019653764350000002,0.5554918488958839,0.4445081511041161
121021,17,0.02024933296666667,0.021440470200000002,0.020844901583333336,0.5595879930309938,0.4404120069690062
121021,18,0.021440470200000002,0.022631607433333336,0.02203603881666667,0.5724117067044668,0.42758829329553316
121021,19,0.022631607433333336,0.02382274466666667,0.023227176050000003,0.5458943887380101,0.4541056112619899
121021,20,0.02382274466666667,0.025013881900000003,0.024418313283333336,0.5615513326838794,0.43844866731612064
121021,21,0.025013881900000003,0.026205019133333337,0.02560945051666667,0.5458876709092555,0.4541123290907445
121021,22,0.026205019133333337,0.02739615636666667,0.026800587750000004,0.5452080073033768,0.4547919926966232
121021,23,0.02739615636666667,0.0285872936,0.027991724983333334,0.5707920149170358,0.4292079850829642
121021,24,0.0285872936,0.029778430833333334,0.029182862216666668,0.570698822826079,0.429301177173921
121021,25,0.029778430833333334,0.030969568066666668,0.03037399945,0.5447468300894017,0.4552531699105983
121021,26,0.030969568066666668,0.0321607053,0.031565136683333335,0.5713053486528707,0.42869465134712925
121021,27,0.0321607053,0.033351842533333335,0.03275627391666667,0.5592083048668098,0.44079169513319016
121021,28,0.033351842533333335,0.03454297976666667,0.03394741115,0.539774689075714,0.460225310924286
121021,29,0.03454297976666667,0.035734117,0.035138548383333336,0.3358706212534856,0.6641293787465143
129121,0,0.0,0.0011800368333333333,0.0005900184166666667,0.5254015878083194,0.47459841219168064
129121,1,0.0011800368333333333,0.0023600736666666666,0.0017700552499999998,0.5554790673179814,0.44452093268201864
129121,2,0.0023600736666666666,0.0035401104999999997,0.002950092083333333,0.5609748952725864,0.43902510472741363
129121,3,0.0035401104999999997,0.004720147333333333,0.0041301289166666665,0.556012280613145,0.443987719386855
129121,4,0.004720147333333333,0.005900184166666667,0.00531016575,0.5633007739525426,0.43669922604745737
129121,5,0.005900184166666667,0.007080220999999999,0.0064902025833333335,0.5859269447594347,0.41407305524056526
129121,6,0.007080220999999999,0.008260257833333333,0.007670239416666666,0.5606591986174281,0.4393408013825719
