seed,bin,r_low_m,r_high_m,r_center_m,r_over_R,solid_fraction,porosity
153133,2,0.0016,0.0024000000000000002,0.002,0.25,0.5901822287471141,0.4098177712528859
153133,3,0.0024000000000000002,0.0032,0.0028000000000000004,0.35000000000000003,0.593646963368109,0.40635303663189104
153133,4,0.0032,0.004,0.0036,0.44999999999999996,0.5738425351546058,0.4261574648453942
153133,5,0.004,0.0048000000000000004,0.0044,0.55,0.6059314937234936,0.39406850627650636
153133,6,0.0048000000000000004,0.0056,0.0052,0.6499999999999999,0.5630798188526471,0.43692018114735287
153133,7,0.0056,0.0064,0.006,0.75,0.5658703240315744,0.43412967596842555
153133,8,0.0064,0.007200000000000001,0.0068000000000000005,0.8500000000000001,0.5867191788569474,0.41328082114305265
153133,9,0.007200000000000001,0.008,0.007600000000000001,0.9500000000000001,0.4216194513522396,0.5783805486477605
161123,0,0.0,0.0008,0.0004,0.05,0.5894644079532055,0.41053559204679446
161123,1,0.0008,0.0016,0.0012000000000000001,0.15000000000000002,0.5962284349823765,0.40377156501762346
161123,2,0.0016,0.0024000000000000002,0.002,0.25,0.578719470471635,0.42128052952836503
161123,3,0.0024000000000000002,0.0032,0.0028000000000000004,0.35000000000000003,0.6002659182923448,0.39973408170765523
161123,4,0.0032,0.004,0.0036,0.44999999999999996,0.5724360759132403,0.4275639240867597
161123,5,0.004,0.0048000000000000004,0.0044,0.55,0.6002414846132468,0.3997585153867532
161123,6,0.0048000000000000004,0.0056,0.0052,0.6499999999999999,0.5635327178725316,0.43646728212746844
161123,7,0.0056,0.0064,0.006,0.75,0.5613222129897801,0.43867778701021987
161123,8,0.0064,0.007200000000000001,0.0068000000000000005,0.8500000000000001,0.5977669429257636,0.4022330570742364
161123,9,0.007200000000000001,0.008,0.007600000000000001,0.9500000000000001,0.43097326246359097,0.5690267375364091
18427,0,0.0,0.0008,0.0004,0.05,0.5765342234101699,0.4234657765898301
18427,1,0.0008,0.0016,0.0012000000000000001,0.15000000000000002,0.5847283031532242,0.4152716968467758
18427,2,0.0016,0.0024000000000000002,0.002,0.25,0.5811611447736571,0.4188388552263429
18427,3,0.0024000000000000002,0.0032,0.0028000000000000004,0.35000000000000003,0.5954675654271799,0.40453243457282007
18427,4,0.0032,0.004,0.0036,0.44999999999999996,0.5745787259878405,0.42542127401215946
18427,5,0.004,0.0048000000000000004,0.0044,0.55,0.6052708196607811,0.3947291803392189
18427,6,0.0048000000000000004,0.0056,0.0052,0.6499999999999999,0.5700000233822982,0.42999997661770184
18427,7,0.0056,0.0064,0.006,0.75,0.5647295515839847,0.43527044841601525
18427,8,0.0064,0.007200000000000001,0.0068000000000000005,0.8500000000000001,0.5896633732388059,0.4103366267611941
18427,9,0.007200000000000001,0.008,0.007600000000000001,0.9500000000000001,0.4140532296644387,0.5859467703355613
27183,0,0.0,0.0008,0.0004,0.05,0.5924093986414618,0.4075906013585382
27183,1,0.0008,0.0016,0.0012000000000000001,0.15000000000000002,0.6077784865879579,0.39222151341204214
27183,2,0.0016,0.0024000000000000002,0.002,0.25,0.5783918124779688,0.4216081875220312
27183,3,0.0024000000000000002,0.0032,0.0028000000000000004,0.35000000000000003,0.5914780434013799,0.4085219565986201
27183,4,0.0032,0.004,0.0036,0.44999999999999996,0.5737816763585207,0.42621832364147927
27183,5,0.004,0.0048000000000000004,0.0044,0.55,0.6033342229314274,0.39666577706857264
27183,6,0.0048000000000000004,0.0056,0.0052,0.6499999999999999,0.5662489850479027,0.43375101495209734
27183,7,0.0056,0.0064,0.006,0.75,0.5639737671132947,0.4360262328867053
27183,8,0.0064,0.007200000000000001,0.0068000000000000005,0.8500000000000001,0.6042055339787397,0.39579446602126034
27183,9,0.007200000000000001,0.008,0.007600000000000001,0.9500000000000001,0.43072621541478234,0.5692737845852176
31991,0,0.0,0.0008,0.0004,0.05,0.6076667317793015,0.3923332682206985
31991,1,0.0008,0.0016,0.0012000000000000001,0.15000000000000002,0.5869195788360745,0.4130804211639255
31991,2,0.0016,0.0024000000000000002,0.002,0.25,0.5852302022809814,0.41476979771901856
31991,3,0.0024000000000000002,0.0032,0.0028000000000000004,0.35000000000000003,0.5873313412993614,0.4126686587006386
