pore_id,x_m,y_m,z_m,volume_m3,inscribed_radius_m,component,inlet,outlet,wall,sobol_void_samples
40,-0.00032655375934027457,-0.006603105148958439,0.0040024092091931595,2.4051332401531386e-10,0.00020380558537314247,0,0,0,0,35
41,1.8144577702180833e-05,0.006115413183624256,0.014119348937634519,1.6598806868662508e-10,0.0004625951417079902,0,0,0,0,24
42,0.006120302447965614,-0.0018160224102246464,0.028418116503033674,3.1503857934400267e-10,0.00042049057134068595,0,0,0,0,46
43,-0.0031691376628280358,-0.005582035994576733,0.00405740822075222,3.827888114609925e-10,0.00042148147190131633,0,0,0,0,56
44,-0.0033031119698628646,-0.005842995452594485,0.0033185085753582133,1.0941662486893859e-09,0.00026962928182412075,0,0,0,0,161
45,-0.0036552684706095935,-0.005169588796013062,0.0028429844557068284,4.166639275194874e-10,0.0004105282552969981,0,0,0,0,61
46,-0.0025826557623647287,-0.006390612640889217,0.004689537939208448,1.1009412719010846e-09,0.00024027552838283594,0,0,0,0,162
47,-0.0030466731834665035,-0.005573514074331386,0.004133676414097933,1.9986318474511998e-10,0.0004160250016451173,0,0,0,0,29
48,-0.001984773463657703,-0.005955709100907987,0.003606982208981633,2.811634632855078e-10,0.00023088183566914754,0,0,0,0,41
49,-0.0018803357924332513,-0.00672387935208611,0.00443851158449668,9.51890761243707e-10,0.0003294145520338093,0,0,0,0,140
50,-0.0017040078114597974,-0.006619191616587585,0.004147746567967923,3.895638346726915e-10,0.00032127724677937224,0,0,0,0,57
51,-0.0009637073357482978,-0.006096301979085719,0.00446366337327736,3.4213867219079865e-10,0.0002755367255534595,0,0,0,0,50
52,-0.005821819592254392,-0.002872556876504704,0.008355153111827227,1.317742014675452e-09,0.0004902844538244576,0,0,0,0,194
53,-0.006380290658624916,-0.0034676956429186326,0.006747558947402187,1.0264160165723959e-09,0.00038472855885590045,0,0,0,0,151
54,-0.006345213425009366,-0.0036715330519184308,0.006595123070809707,9.72215830878804e-10,0.0004369810245836088,0,0,0,0,143
55,-0.006450267635003164,-0.0003040985354958186,0.001528536733670799,3.082635561323037e-10,0.00028675290605990357,0,0,0,0,45
56,-0.00656223702878167,-0.0007419225905732234,0.0012793448435757591,1.8800689412464676e-09,0.0002836968842245901,0,1,0,1,277
57,-0.00607969331145654,-0.001296059158931214,0.0016418891250137007,2.6761341686210984e-10,0.0004986677826375041,0,0,0,0,39
58,-0.006025298020091117,-0.00047090625239464793,0.0019414352386504785,1.8631313832172201e-10,0.00040344741605383616,0,0,0,0,27
59,-0.005892267562337531,0.0015271248054219589,0.002561272926683192,3.6923876503759457e-10,0.0003267696544980381,0,0,0,0,54
60,-0.006144923437176984,0.0010732189950876363,0.0030605079821921207,2.811634632855078e-10,0.00042793091910429883,0,0,0,0,41
61,-0.00606361709892161,0.0009847397982278988,0.0030991560248457262,1.7276309189832405e-10,0.0004532153615647614,0,0,0,0,25
62,-0.006379403030838582,0.0012373459424586915,0.0034307228429626257,3.7601378824929354e-10,0.000362842370604574,0,0,0,0,55
63,-0.0068154470574253445,-0.0008217207701854999,0.0034858830676017345,4.166639275194874e-10,0.0005448982083262999,0,0,0,0,61
64,-0.006748202804682591,-0.0009328711448821774,0.003449743078831636,4.437640203662833e-10,0.0005346402697896201,0,0,0,0,65
65,-0.005795779808926887,-0.0026793348549874214,0.0016448910800772394,2.4051332401531386e-10,0.0003785567196776541,0,0,0,0,35
66,-0.0058822008086900504,-0.0029289870772484117,0.001760251995496771,4.0988890430778843e-10,0.00035269501596602016,0,0,0,0,60
67,-0.00559935111336835,-0.002873883017459512,0.0014831632902826252,3.3536364897909963e-10,0.00034956219734708397,0,0,0,0,49
68,-0.005646545111228042,-0.0030515264124240564,0.0015516084925677068,2.1341323116851794e-10,0.00033278717187713587,0,0,0,0,31
69,-0.004975912099040385,-0.0037359407272646505,0.0018130026233688706,2.608383936504108e-10,0.0002350961858599872,0,0,0,0,38
70,-0.00514425021629216,-0.003929824146100604,0.002678945402316558,2.608383936504108e-10,0.0002781271751710791,0,0,0,0,38
