target,feature,spearman_rho,bootstrap_valid,ci95_low,ci95_high
t50_final_uptake_s,inlet_centroid_offset_over_R,0.3157894736842105,5000,-0.14272689104106764,0.703876694310799
t50_final_uptake_s,network_minimum_throat_radius_m,-0.3037593984962406,5000,-0.735057005437176,0.22960164954773266
t50_final_uptake_s,network_outlet_pores,0.2801081152747411,5000,-0.19359702515120777,0.6872581405771391
t50_final_uptake_s,inlet_internal_conductance_cv,-0.2781954887218045,5000,-0.681359461339443,0.20670268366817382
t50_final_uptake_s,inlet_internal_conductance_m3_s,-0.2556390977443609,5000,-0.6363670929830627,0.23241421308984023
t50_final_uptake_s,inlet_to_internal_throats_per_inlet_pore,0.2115168830385586,5000,-0.24704689484490763,0.6570748628548371
t50_final_uptake_s,network_degree_cv,-0.20300751879699244,5000,-0.626550152554421,0.2536267349251982
t50_final_uptake_s,network_mean_degree,0.193984962406015,5000,-0.2881418606799704,0.5994005255220308
t50_final_uptake_s,network_throat_radius_p10_m,0.17142857142857143,5000,-0.28152199956247415,0.550165195958964
t50_final_uptake_s,inlet_radial_coverage,0.14451832825401997,4375,-0.183511138448376,0.47514712978344253
t50_final_uptake_s,inlet_internal_conductance_per_inlet_pore_m3_s,-0.13383458646616542,5000,-0.5348599606543798,0.3699227310021074
t50_final_uptake_s,effective_inlet_to_outlet_conductance_m3_s,-0.11127819548872178,5000,-0.6210971912943126,0.4242585184163331
t50_final_uptake_s,network_geometric_tortuosity,-0.10977443609022557,5000,-0.5621460351817494,0.3626791564231951
t50_final_uptake_s,inlet_radial_std_over_R,0.10827067669172932,5000,-0.4355297282383777,0.5587947772621943
t50_final_uptake_s,inlet_radial_mean_over_R,0.10375939849624059,5000,-0.4171099928943958,0.5956968453072106
t50_final_uptake_s,inlet_min_pair_distance_over_D,-0.10375939849624059,5000,-0.561020811040183,0.4003346824408463
t50_final_uptake_s,network_pore_volume_cv,0.10075187969924812,5000,-0.47032412492487513,0.5763557678680675
t50_final_uptake_s,network_shortest_inlet_outlet_path_m,0.04210526315789473,5000,-0.46172073575127154,0.5034569687738001
t50_final_uptake_s,network_mean_throat_length_m,0.021052631578947364,5000,-0.45359509290479955,0.5185753159910991
underutilized_particle_fraction,effective_inlet_to_interior_conductance_m3_s,-0.9590072133630365,5000,-0.9893860994325363,-0.8466181948473666
underutilized_particle_fraction,network_inlet_pores,-0.7419646453686882,5000,-0.8954265520010398,-0.40146973467339275
underutilized_particle_fraction,inlet_to_internal_throat_count,-0.6884490179234664,5000,-0.8689428175715047,-0.35398275167131465
underutilized_particle_fraction,inlet_to_internal_unique_second_layer_pores,-0.6816319500241803,5000,-0.9008367304819989,-0.28451613933120273
underutilized_particle_fraction,inlet_polar_cell_coverage,-0.6427893901935637,5000,-0.8922343945288631,-0.2384005044429632
underutilized_particle_fraction,inlet_radial_mean_over_R,0.5633697276932662,5000,0.13964269058142584,0.8435093790625774
underutilized_particle_fraction,inlet_internal_conductance_m3_s,-0.5257616016790295,5000,-0.7752052221433696,-0.09312622183950853
underutilized_particle_fraction,inlet_total_pore_volume_m3,-0.4896578007053622,5000,-0.7892308567096286,-0.05092034118680056
underutilized_particle_fraction,inlet_pore_volume_fraction,-0.4723580627388133,5000,-0.7667789795457477,-0.02045145023527227
underutilized_particle_fraction,inlet_angular_resultant,0.43700642428543074,5000,-0.06687648648845755,0.8019843850539707
underutilized_particle_fraction,inlet_centroid_offset_over_R,0.4294847990825834,5000,-0.08432014237053566,0.7915479482048976
underutilized_particle_fraction,network_geometric_tortuosity,0.4279804740420139,5000,0.01893304991360035,0.7359079677022664
underutilized_particle_fraction,network_shortest_inlet_outlet_path_m,0.42045884883916657,5000,-0.0665384893121599,0.7737294158750537
underutilized_particle_fraction,inlet_internal_conductance_per_inlet_pore_m3_s,-0.37908991022350613,5000,-0.6841407769653783,0.09952158347468007
underutilized_particle_fraction,network_throat_count,-0.28281310762706013,5000,-0.7049493373293175,0.19732925210037297
underutilized_particle_fraction,effective_inlet_to_outlet_conductance_m3_s,-0.2685220197416502,5000,-0.7033408060213142,0.2574435992283718
underutilized_particle_fraction,inlet_radial_coverage,-0.26023084039647126,4343,-0.5262120812499065,-0.019957119368941754
underutilized_particle_fraction,network_pore_count,-0.2547986631345745,5000,-0.6889245174631009,0.2205272614789
underutilized_particle_fraction,network_median_pore_volume_m3,0.2158706433217188,5000,-0.294752043994078,0.6306224951417344
underutilized_particle_fraction,inlet_to_internal_throats_per_inlet_pore,0.21121993940180034,5000,-0.2883185477837485,0.6383218968541456
underutilized_particle_fraction,inlet_internal_conductance_cv,-0.20082739291602414,5000,-0.5987020841695332,0.2558354581996602
underutilized_particle_fraction,network_minimum_throat_radius_m,0.14742385397580798,5000,-0.3566171854185732,0.6090701178262056
underutilized_particle_fraction,network_total_pore_volume_m3,-0.14742385397580798,5000,-0.635915641689769,0.335878155294338
underutilized_particle_fraction,inlet_radial_std_over_R,0.1436630413743843,5000,-0.3370362854747593,0.5955301702609761
underutilized_particle_fraction,network_outlet_pores,0.1325538152995813,5000,-0.393318642132453,0.6552705605942489
underutilized_particle_fraction,inlet_mean_pair_distance_over_D,-0.12711546592812012,5000,-0.5330912663451729,0.3200622293528646
underutilized_particle_fraction,network_mean_degree,-0.1263633034078354,5000,-0.5930479024330758,0.3399218674329253
underutilized_particle_fraction,network_analytic_porosity,-0.12335465332669647,5000,-0.6130531393044625,0.35406954487390924
underutilized_particle_fraction,network_degree_cv,-0.1045505903195781,5000,-0.4813754952245263,0.35911819563415265
underutilized_particle_fraction,inlet_min_pair_distance_over_D,0.10229410275872389,5000,-0.41031554776048046,0.6069768659419355
underutilized_particle_fraction,network_pore_volume_cv,-0.10154194023843915,5000,-0.6578534390762504,0.43162173171502866
underutilized_particle_fraction,network_mean_throat_length_m,0.10154194023843915,5000,-0.35822356491984647,0.5462544019120502
underutilized_particle_fraction,network_median_throat_radius_m,-0.10003761519786969,5000,-0.5213547136232285,0.34920659213390826
underutilized_particle_fraction,network_throat_radius_p10_m,0.07220760194733451,5000,-0.4224945665663064,0.524768614086579
underutilized_particle_fraction,network_mean_pore_volume_m3,0.06017300162277876,5000,-0.386147725201968,0.5069423877979948
underutilized_particle_fraction,inlet_mean_pore_volume_m3,0.05942083910249402,5000,-0.36923249002685865,0.4903172281367111
underutilized_particle_fraction,network_mean_throat_radius_m,0.009025950243416814,5000,-0.4581507266204826,0.4502630881628093
