seed,axial_bin,mean_loading_mol_kg,mean_loading_over_inlet_equilibrium,particle_count,z_high_m,z_low_m
74167,6,5.577285283103162e-05,2.4154161941559137e-05,192,0.0261345747,0.0224008996
74167,7,4.958829717553241e-06,2.1475748497439996e-06,196,0.0298682498,0.0261345747
74167,8,3.682002070695037e-07,1.5946050770284574e-07,195,0.0336019249,0.0298682498
74167,9,4.7576181670720614e-08,2.060433953624544e-08,79,0.037335600000000004,0.0336019249
81929,0,1.4091409829982073,0.610272162425387,191,0.0036356211,-1.3210000000000912e-06
81929,1,0.7093665555876612,0.30721316536379606,189,0.007272563199999999,0.0036356211
81929,2,0.23311365364258307,0.10095709032367475,194,0.010909505299999999,0.007272563199999999
81929,3,0.05029944372852461,0.021783732545829895,192,0.014546447399999999,0.010909505299999999
81929,4,0.00818023662577627,0.003542704920938479,192,0.0181833895,0.014546447399999999
81929,5,0.000957260156328368,0.00041457116970880145,196,0.0218203316,0.0181833895
81929,6,9.869477374488793e-05,4.274282965301683e-05,186,0.0254572737,0.0218203316
81929,7,9.280059042899899e-06,4.019017094723865e-06,191,0.0290942158,0.0254572737
81929,8,7.761233746606085e-07,3.361242742051601e-07,192,0.0327311579,0.0290942158
81929,9,7.65109230597898e-08,3.313542578650537e-08,127,0.0363681,0.0327311579
90709,0,1.5549648107671157,0.6734256891337873,189,0.0036973253000000005,-1.283000000000035e-06
90709,1,0.845256619945231,0.366064568046848,193,0.007395933600000001,0.0036973253000000005
90709,2,0.282450220844716,0.12232381935672665,194,0.011094541900000003,0.007395933600000001
90709,3,0.06629684377097766,0.02871190228532588,190,0.014793150200000002,0.011094541900000003
90709,4,0.010783965187989143,0.004670330246723511,199,0.0184917585,0.014793150200000002
90709,5,0.0012498756563763807,0.0005412973781776908,198,0.022190366800000003,0.0184917585
90709,6,0.00012755341779464898,5.524095959274806e-05,194,0.025888975100000003,0.022190366800000003
90709,7,1.1484986618905253e-05,4.973929297289382e-06,203,0.029587583400000003,0.025888975100000003
90709,8,7.631236281798879e-07,3.3049433121755965e-07,193,0.03328619170000001,0.029587583400000003
90709,9,8.733432174336141e-08,3.78228339302679e-08,97,0.036984800000000005,0.03328619170000001
98251,0,1.6991845065547952,0.7358844967865278,187,0.0036187652000000004,-1.172000000000022e-06
98251,1,0.9424555062615451,0.4081595573014979,190,0.007238702400000001,0.0036187652000000004
98251,2,0.33479394890357184,0.14499289257033637,194,0.0108586396,0.007238702400000001
98251,3,0.07582425192274216,0.03283804157531768,190,0.0144785768,0.0108586396
98251,4,0.012922344911777073,0.0055964218400189145,190,0.018098514,0.0144785768
98251,5,0.001723479990145994,0.0007464064087082324,197,0.021718451200000002,0.018098514
98251,6,0.00017555848282890015,7.603104035776195e-05,192,0.025338388400000002,0.021718451200000002
98251,7,1.5723712903335884e-05,6.809641044189938e-06,189,0.0289583256,0.025338388400000002
98251,8,1.2672531822662673e-06,5.488232541761733e-07,195,0.0325782628,0.0289583256
98251,9,1.2998459432171083e-07,5.62938559134917e-08,126,0.0361982,0.0325782628
